exp_paper,block,graph,subject_rel,BSL,Broken link,Fewlinks,Symmetry,Fitted,LSL
Exp1,3,30,0,0,0,0,0,0,3.18156778397708e-17
Exp1,3,31,0,0,0,0,0,0,1.39523241737819e-29
Exp1,3,32,0,0,0,0,0,0,3.37195277120739e-28
Exp1,3,33,0,0,0,0,0,0,5.13962020828813e-09
Exp1,3,34,0,0,0,0,0,0,1.24212685918356e-07
Exp1,3,35,0,0,0,0,0,0,5.44717503476441e-20
Exp1,3,36,0,0,0,0,0,0,1.31645571912961e-18
Exp1,3,37,0,0,0,0,0,0,1.24212685918356e-07
Exp1,3,38,0,0,0,0,0,0,3.00193218910842e-06
Exp1,3,39,0,0,0,0,0,0,1.31645571912961e-18
Exp1,3,40,0,0,0,0,0,0,3.18156778397708e-17
Exp1,3,41,0,0,0,0,0,0,5.44717503476441e-20
Exp1,3,42,0,0,0,0,0,0,1.31645571912961e-18
Exp1,3,43,0,0,0,0,0,0,5.77313393925725e-31
Exp1,3,44,0,0,0,0,0,0,1.39523241737819e-29
Exp1,3,45,0,0,0,0,0,0,1.31645571912961e-18
Exp1,3,46,0,0,0,0,0,0,3.18156778397708e-17
Exp1,3,47,0,0,0,0,0,0,1.39523241737819e-29
Exp1,3,48,0,0,0,0,0,0,3.37195277120739e-28
Exp1,3,49,0,0,0,0,0,0,1.67321280436045e-14
Exp1,3,50,0,0,0,0,0,0,4.04376681777857e-13
Exp1,3,51,0,0,0,0,0,0,1.77333784334157e-25
Exp1,3,52,0,0,0,0,0,0,4.28574578734268e-24
Exp1,3,53,0,0,0,0,0,0,4.04376681777857e-13
Exp1,3,54,0,0,0,0,0,0,9.7728454109083e-12
Exp1,3,55,0,0,0,0,0,0,4.28574578734268e-24
Exp1,3,56,0,0,0,0,0,0,1.03576523913316e-22
Exp1,3,57,0,0,0,0,0,0,1.77333784334157e-25
Exp1,3,58,0,0,0,0,0,0,4.28574578734268e-24
Exp1,3,59,0,0,0,0,0,0,1.87945436374384e-36
Exp1,3,60,0,0,0,0,0,0,4.54220477624269e-35
